"Violation","Title","Descriptive Statute Code","Descriptive Statute Year","Penalty Statute Code","Penalty Statute Year","Offense Level","Minumum Sentence","Maximum Sentence","Minimum Fine","Maximum Fine","Restitution","Public Official","Unspecified Classification","Unspecified Fines"
"Maliciously Removing or Defacing Landmarks","Title 21","21-1774",1910,"21-1774",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Unlawful Interference with Piers, Dams","Title 21","21-1775",1910,"21-1775",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Destroying Dams","Title 21","21-1776",1910,"21-1776",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Removing or Injuring Piles Used to Secure Dams","Title 21","21-1777",1999,"21-1777",1999,"Felony","2","5","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"REMOVE/ALTER TRAIN SIGNAL LIGHT","Title 21","21-1778",1999,"21-1778",1999,"Felony","3","10","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Defacing or Destroying Written Instruments","Title 21","21-1779",1910,"21-1621",2017,"Felony","0","7","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Opening, Reading or Publishing Letters of Another","Title 21","21-1781",1910,"21-1781",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Disclosing Contents of Telegraph or Telephone Messages","Title 21","21-1782",1923,"21-1782",1923,"Misdemeanor","30 days","1 year","50","500","No","Nonspecific","Not Applicable","Not Applicable"
"Concealing Telegraphic Dispatch of Another","Title 21","21-1783",1910,"21-1783",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Injuring or Destroying Art, Ornamental Improvements, Trees, etc.","Title 21","21-1784",1910,"21-1784",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Tearing or Destroying Literature or Art","Title 21","21-1785",1999,"21-1785",1999,"Felony","0","3","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"INJURING PIPES OR WIRES","Title 21","21-1786",1999,"21-1786",1999,"Felony","0","3","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"JOY RIDE/MOLEST, INJURE, LOITER MOTOR VE","Title 21","21-1787",1917,"21-1788",1985,"Misdemeanor","0","1","100","500","No","Nonspecific","Not Applicable","Not Applicable"
"Caves or Caverns, Injuring","Title 21","21-1789",1988,"21-1789",1988,"Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Not Applicable"
"Damaging Fences Used for Production or Containment of Animals","Title 21","21-1791",2013,"21-1791",2013,"Felony","0","2","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"Trespass and Damage to Critical Infrastructure Facility (Intent)","Title 21","21-1792",2017,"21-1792.A",2017,"Felony","1","1","10000","Unspecified","No","Nonspecific","Not Applicable","Not Applicable"
"Trespass and Damage to Critical Infrastructure Facility (Trespass)","Title 21","21-1792",2017,"21-1792.A",2017,"Misdemeanor","6 months","6 months","1000","Unspecified","No","Nonspecific","Not Applicable","Not Applicable"
"Trespass and Damage to Critical Infrastructure Facility (Damage)","Title 21","21-1792",2017,"21-1792.B",2017,"Felony","0","10","100000","100000","No","Nonspecific","Not Applicable","Not Applicable"
"Unauthorized Taking or Injury of Saw Logs (VALUE <=$100)","Title 21","21-1831",1910,"21-1831",1910,"Misdemeanor","3 months","1","10","100","No","Nonspecific","Not Applicable","Not Applicable"
"Unauthorized Taking or Injury of Saw Logs (VALUE >$100)","Title 21","21-1831",1910,"21-1831",1910,"Misdemeanor","Unspecified","Unspecified","20","80","No","Nonspecific","Not Applicable","Not Applicable"
"Purchasing, Receiving or Injuring Stolen Saw Logs (VALUE <=$100)","Title 21","21-1832",1910,"21-1832",1910,"Misdemeanor","3 months","1","10","100","No","Nonspecific","Not Applicable","Not Applicable"
"Purchasing, Receiving or Injuring Stolen Saw Logs (VALUE >$100)","Title 21","21-1832",1910,"21-1832",1910,"Misdemeanor","Unspecified","Unspecified","20","80","No","Nonspecific","Not Applicable","Not Applicable"
"REMOVAL/DESTRUCTION MORTGAGED PROPERTY (VALUE <$1000)","Title 21","21-1834",2016,"21-1834",2016,"Misdemeanor","0","1","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"REMOVAL/DESTRUCTION MORTGAGED PROPERTY (VALUE >=$1000)","Title 21","21-1834",2016,"21-1834",2016,"Felony","0","3","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"TRESPASSING AFTER BEING FORBIDDEN (garden, yard, pasture or field W/ DAMAGE)","Title 21","21-1835",2011,"21-1835.A",2011,"Misdemeanor","30 days","6 months","50","500","No","Nonspecific","Not Applicable","Not Applicable"
"TRESPASSING AFTER BEING FORBIDDEN (garden, yard, pasture or field)","Title 21","21-1835",2011,"21-1835.A",2011,"Unspecified","Unspecified","Unspecified","0","250","No","Nonspecific","Not Applicable","Not Applicable"
"TRESPASSING AFTER BEING FORBIDDEN (PECAN GROVE W/ DAMAGE)","Title 21","21-1835",2011,"21-1835.C",2011,"Misdemeanor","30 days","6 months","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"TRESPASSING AFTER BEING FORBIDDEN (PECAN GROVE)","Title 21","21-1835",2011,"21-1835.C",2011,"Unspecified","Unspecified","Unspecified","0","25","No","Nonspecific","Not Applicable","Not Applicable"
"TRESPASSING AFTER BEING FORBIDDEN (GRAND RIVER DAM AUTHORITY W/ DAMAGE)","Title 21","21-1835",2011,"21-1835.D",2011,"Misdemeanor","30 days","6 months","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"TRESPASSING AFTER BEING FORBIDDEN (GRAND RIVER DAM AUTHORITY)","Title 21","21-1835",2011,"21-1835.D",2011,"Unspecified","Unspecified","Unspecified","0","250","No","Nonspecific","Not Applicable","Not Applicable"
"TRESPASSING AFTER BEING FORBIDDEN (GOVERNOR'S MANSION)","Title 21","21-1835",2011,"21-1835.E",2011,"Unspecified","Unspecified","Unspecified","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"Entry or Presence of Persons Convicted of Certain Crimes in Businesses Where They've Been Forbidden","Title 21","21-1835.1",1989,"21-1835.1",1989,"Unspecified","0","30 days","0","250","No","Nonspecific","Not Applicable","Not Applicable"
"Trespass to Private Land Primarily Devoted to Farming, Ranching, or Forestry (First Offense)","Title 21","21-1835.2",2018,"21-1835.2.A.1",2018,"Unspecified","Unspecified","Unspecified","750","2000","Yes","Nonspecific","Not Applicable","Not Applicable"
"Trespass to Private Land Primarily Devoted to Farming, Ranching, or Forestry (Second or Subsequent Offense)","Title 21","21-1835.2",2018,"21-1835.2.A.1",2018,"Misdemeanor","30 days","6 months","1500","2500","Yes","Nonspecific","Not Applicable","Not Applicable"
"Trespass to Private Land to (Attempt to) Cause Waste, Theft, or Damage (First Offense)","Title 21","21-1835.2",2018,"21-1835.2.A.4",2018,"Misdemeanor","30 days","6 months","1000","Unspecified","Yes","Nonspecific","Not Applicable","Not Applicable"
"Trespass to Private Land to (Attempt to) Cause Waste, Theft, or Damage (Second or Subsequent Offense)","Title 21","21-1835.2",2018,"21-1835.2.A.4",2018,"Misdemeanor","30 days","6 months","2500","Unspecified","Yes","Nonspecific","Not Applicable","Not Applicable"
"Private Lands and Public Recreation - Prohibited Acts (First Offense)","Title 21","21-1835.6",2011,"21-1835.7",2011,"Unspecified","0","10 days","250","250","No","Nonspecific","Not Applicable","Not Applicable"
"Private Lands and Public Recreation - Prohibited Acts (Second Offense within 1 year of first offense)","Title 21","21-1835.6",2011,"21-1835.7",2011,"Unspecified","0","20 days","500","500","No","Nonspecific","Not Applicable","Not Applicable"
"Private Lands and Public Recreation - Prohibited Acts (Third or Subsequent Offense within 1 year of second offense)","Title 21","21-1835.6",2011,"21-1835.7",2011,"Unspecified","0","6 months","2500","2500","No","Nonspecific","Not Applicable","Not Applicable"
"Private Lands and Public Recreation - Aggravated Offenses (First Offense)","Title 21","21-1835.9",2011,"21-1835.9.B",2011,"Unspecified","0","10 days","500","500","No","Nonspecific","Not Applicable","Not Applicable"
"Private Lands and Public Recreation - Aggravated Offenses (Second Offense within one year after the first)","Title 21","21-1835.9",2011,"21-1835.9.B",2011,"Unspecified","0","20 days","500","500","No","Nonspecific","Not Applicable","Not Applicable"
"Private Lands and Public Recreation - Aggravated Offenses (Third or Subsequent Offense within one year after the second)","Title 21","21-1835.9",2011,"21-1835.9.B",2011,"Unspecified","0","6 months","500","500","No","Nonspecific","Not Applicable","Not Applicable"
"Deed to Restricted Indian Lands - Punishment for Filing","Title 21","21-1836",1945,"21-1836",1945,"Misdemeanor","0","30 days","0","100","No","Nonspecific","Not Applicable","Not Applicable"
"Failure to Comply With Demand - Execution of Deed to Remove Cloud","Title 21","21-1836.1",1945,"21-1836.2",1945,"""guilty of a tort""","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Not Applicable"
"Matches in Cotton-Stone in Grain","Title 21","21-1837",1999,"21-1837",1999,"Felony","1","5","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"UNAUTHORIZED USE OF UTILITY POLE","Title 21","21-1838",1963,"21-1839",1963,"Misdemeanor","0","30 days","0","100","No","Nonspecific","Not Applicable","Not Applicable"
"Destroying or Altering Serial Number from Farm Machinery - Sale or Disposal","Title 21","21-1841",1953,"21-1843",1953,"Unspecified","30 days","1","50","1000","No","Nonspecific","Not Applicable","Not Applicable"
"Restrictions on Use of an Automatic Dial Announcing Device","Title 21","21-1847a",1992,"21-1847a.B",1992,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Coin-Operated Machines - Use of Spurious Coins a Misdemeanor","Title 21","21-1849",1955,"21-1849",1955,"Misdemeanor","0","30 days","0","100","No","Nonspecific","Not Applicable","Not Applicable"
"Manufacture, Sale, Possession etc. of Spurious Coins a Misdemeanor","Title 21","21-1850",1955,"21-1850",1955,"Misdemeanor","0","30 days","100","100","No","Nonspecific","Not Applicable","Not Applicable"
"False Report of Fire","Title 21","21-1851",1957,"21-1853",1957,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Unlawful Telephone Solicitation (First or Second Offense)","Title 21","21-1861",1999,"21-1861.C",1999,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Unlawful Telephone Solicitation (Third or Subsequent Offense)","Title 21","21-1861",1999,"21-1861.C",1999,"Felony","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Prohibition on Solicitation by Facsimile Devices","Title 21","21-1863",1990,"21-1863",1990,"Misdemeanor","Unspecified","Unspecified","500","1000","No","Nonspecific","Not Applicable","Not Applicable"
"Penalty for Use of Telecommunication Device with Intent to Avoid Payment (Avoid Payment of Lawful Charge, Value <=$1000)","Title 21","21-1871",1998,"21-1871.A",1998,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Penalty for Use of Telecommunication Device with Intent to Avoid Payment (Avoid Payment of Lawful Charge, Value >$1000)","Title 21","21-1871",1998,"21-1871.B",1998,"Felony","0","2","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Penalty for Use of Telecommunication Device with Intent to Avoid Payment (Facilitate Felony)","Title 21","21-1871",1998,"21-1871.C",1998,"Felony","0","2","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Penalty for Use of Telecommunication Device with Intent to Avoid Payment (Second Offense)","Title 21","21-1871",1998,"21-1871.D",1998,"Felony","0","5","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Penalty for Possession of Unlawful Telecommunication Device (One)","Title 21","21-1872",1998,"21-1872.A",1998,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Penalty for Possession of Unlawful Telecommunication Device (Five or More)","Title 21","21-1872",1998,"21-1872.B",1998,"Felony","0","2","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Penalty for Possession of Unlawful Telecommunication Device (Cloning)","Title 21","21-1872",1998,"21-1872.C.2",1998,"Felony","0","2","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Penalty for Sale of Unlawful Telecommunication Device (One)","Title 21","21-1873",1998,"21-1873.A",1998,"Felony","0","2","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Penalty for Sale of Unlawful Telecommunication Device (Five Within Six Months)","Title 21","21-1873",1998,"21-1873.B",1998,"Felony","0","5","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Penalty for Manufacture of Unlawful Telecommunication Device (One)","Title 21","21-1874",1998,"21-1874.A",1998,"Felony","0","2","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Penalty for Manufacture of Unlawful Telecommunication Device (Five Within Six Months)","Title 21","21-1874",1998,"21-1874.B",1998,"Felony","0","5","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Seizure of Bus","Title 21","21-1903",2017,"21-1903.A",2017,"Felony","0","20","0","20000","No","Nonspecific","Not Applicable","Not Applicable"
"Assault or Battery","Title 21","21-1903",2017,"21-1903.B",2017,"Felony","0","10","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"Use of Dangerous Weapon - Concealed Weapon","Title 21","21-1903",2017,"21-1903.C",2017,"Felony","0","20","0","20000","No","Nonspecific","Not Applicable","Not Applicable"
"Discharging Firearm or Hurling Missile at Bus","Title 21","21-1903",2017,"21-1903.D",2017,"Felony","0","5","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"Unauthorized Removal of Baggage, Cargo or Other Item","Title 21","21-1904",2017,"21-1904",2017,"Felony","0","5","0","10000","No","Nonspecific","Not Applicable","Not Applicable"
"COMPUTER FRAUD (paragraph 1, 2, 3, 6, 7 or 9)","Title 21","21-1953",2013,"21-1953.B",2013,"Felony","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"COMPUTER FRAUD (paragraph 4, 5 or 8)","Title 21","21-1953",2013,"21-1953.C",2013,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Civil Action for Compensatory Damages","Title 21","21-1955",1999,"21-1955.A",1999,"Felony","0","10","5000","100000","No","Nonspecific","Not Applicable","Not Applicable"
"Civil Action for Compensatory Damages","Title 21","21-1955",1999,"21-1955.B",1999,"Misdemeanor","0","30 days","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"USE OF COMPUTER TO COMMIT CRIME","Title 21","21-1958",1999,"21-1958",1999,"Felony","0","5","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"Reproduction of Sound Recordings without Consent (<100 Articles)","Title 21","21-1976",1999,"21-1976.B",1999,"Misdemeanor","Unspecified","Unspecified","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"Reproduction of Sound Recordings without Consent (>=100 Articles)","Title 21","21-1976",1999,"21-1976.C",1999,"Felony","0","5","0","50000","No","Nonspecific","Not Applicable","Not Applicable"
"Reproduction of Sound Recordings without Consent (Second or Subsequent Conviction)","Title 21","21-1976",1999,"21-1976.D",1999,"Felony","2","5","0","100000","No","Nonspecific","Not Applicable","Not Applicable"
"Unlawful to Sell Sound Recording Reproduced without Consent (<100 Articles)","Title 21","21-1977",1999,"21-1977.B",1999,"Misdemeanor","Unspecified","Unspecified","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"Unlawful to Sell Sound Recording Reproduced without Consent (>=100 Articles)","Title 21","21-1977",1999,"21-1977.C",1999,"Felony","0","5","0","50000","No","Nonspecific","Not Applicable","Not Applicable"
"Unlawful to Sell Sound Recording Reproduced without Consent (Second or Subsequent Conviction)","Title 21","21-1977",1999,"21-1977.D",1999,"Felony","2","5","0","100000","No","Nonspecific","Not Applicable","Not Applicable"
"Unlawful to Sell Sound Recording or Performance without Consent (<100 Articles)","Title 21","21-1978",1999,"21-1978.B",1999,"Misdemeanor","Unspecified","Unspecified","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"Unlawful to Sell Sound Recording or Performance without Consent (>=100 Articles)","Title 21","21-1978",1999,"21-1978.C",1999,"Felony","0","5","0","50000","No","Nonspecific","Not Applicable","Not Applicable"
"Unlawful to Sell Sound Recording or Performance without Consent (Second or Subsequent Conviction)","Title 21","21-1978",1999,"21-1978.D",1999,"Felony","2","5","0","100000","No","Nonspecific","Not Applicable","Not Applicable"
"Unlawful to Advertise, Rent, Sale, Distribute, etc. Any Article Not Clearly Displaying True Name of Manufacturer (<100 Articles)","Title 21","21-1979",2007,"21-1979.B",2007,"Misdemeanor","Unspecified","Unspecified","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
